Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,IMDb
The Irishman,2019,18+,98,1,0,0,0,0,9.8
Dangal,2016,7+,97,1,0,0,0,0,9.7
David Attenborough: A Life on Our Planet,2020,7+,95,1,0,0,0,0,9.5
Lagaan: Once Upon a Time in India,2001,7+,94,1,0,0,0,0,9.4
Roma,2018,18+,94,1,0,0,0,0,9.4
To All the Boys I've Loved Before,2018,13+,94,1,0,0,0,0,9.4
The Social Dilemma,2020,13+,93,1,0,0,0,0,9.3
Okja,2017,13+,92,1,0,0,0,0,9.2
The Ballad of Buster Scruggs,2018,16+,92,1,0,0,0,0,9.2
The Trial of the Chicago 7,2020,18+,92,1,0,0,0,0,9.2
Article 15,2019,18+,92,1,0,0,0,0,9.2
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,92,1,0,0,0,0,9.2
Dolemite Is My Name,2019,18+,92,1,0,0,0,0,9.2
Mudbound,2017,18+,91,1,0,0,0,0,9.1
Swades,2004,all,91,1,0,0,0,0,9.1
Fyre,2019,18+,91,1,0,0,0,0,9.1
Miss Americana,2020,18+,90,1,0,0,0,0,9.0
Virunga,2014,16+,90,1,0,0,0,0,9.0
Black Friday,2004,18+,90,1,0,0,0,0,9.0
Talvar,2015,7+,90,1,0,0,0,0,9.0
The King,2019,18+,90,1,0,0,0,0,9.0
John Mulaney: Kid Gorgeous at Radio City,2018,18+,89,1,0,0,0,0,8.9
I Am Mother,2019,13+,89,1,0,0,0,0,8.9
Tell Me Who I Am,2019,18+,89,1,0,0,0,0,8.9
The Departed,2006,18+,89,1,0,0,0,0,8.9
Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89,1,0,0,0,0,8.9
Terminator 2: Judgment Day,1991,18+,89,1,0,0,0,0,8.9
I Lost My Body,2019,18+,89,1,0,0,0,0,8.9
Django Unchained,2012,18+,89,1,0,0,0,0,8.9
The Half of It,2020,13+,89,1,0,0,0,0,8.9
The Boy Who Harnessed the Wind,2019,7+,89,1,0,0,0,0,8.9
The Devil All the Time,2020,18+,89,1,0,0,0,0,8.9
The Fundamentals of Caring,2016,18+,89,1,0,0,0,0,8.9
Pieces of a Woman,2020,18+,88,1,0,0,0,0,8.8
Gerald's Game,2017,18+,88,1,0,0,0,0,8.8
On Body and Soul,2017,18+,88,1,0,0,0,0,8.8
Shutter Island,2010,18+,88,1,0,0,0,0,8.8
Always Be My Maybe,2019,13+,88,1,0,0,0,0,8.8
The Intouchables,2011,7+,88,1,0,0,0,0,8.8
Bill Burr: Paper Tiger,2019,18+,87,1,0,0,0,0,8.7
Special 26,2013,18+,87,1,0,0,0,0,8.7
Kiss the Ground,2020,18+,87,1,0,0,0,0,8.7
Crip Camp: A Disability Revolution,2020,18+,87,1,0,0,0,0,8.7
Extraction,2020,18+,87,1,0,0,0,0,8.7
No Direction Home: Bob Dylan,2005,all,87,1,0,0,0,0,8.7
Kabhi Khushi Kabhie Gham,2001,all,87,1,0,0,0,0,8.7
His House,2020,16+,87,1,0,0,0,0,8.7
Super Deluxe,2019,18+,87,1,0,0,0,0,8.7
The Guernsey Literary & Potato Peel Pie Society,2018,16+,87,1,0,0,0,0,8.7
A Secret Love,2020,18+,87,1,0,0,0,0,8.7
The Night Comes for Us,2018,18+,87,1,0,0,0,0,8.7
The Big Lebowski,1998,18+,87,1,0,0,0,0,8.7
Pad Man,2018,13+,87,1,0,0,0,0,8.7
American Factory,2019,13+,86,1,0,0,0,0,8.6
Bird Box,2018,18+,86,1,0,0,0,0,8.6
The Pianist,2002,18+,86,1,0,0,0,0,8.6
3 Idiots,2009,13+,86,1,0,0,0,0,8.6
The Distinguished Citizen,2016,18+,86,1,0,0,0,0,8.6
A Shaun the Sheep Movie: Farmageddon,2019,all,86,1,0,0,0,0,8.6
A Clockwork Orange,1971,18+,86,1,0,0,0,0,8.6
What Happened to Monday,2017,18+,86,1,0,0,0,0,8.6
Anthony Jeselnik: Thoughts and Prayers,2015,18+,86,1,0,0,0,0,8.6
The White Helmets,2016,16+,86,1,0,0,0,0,8.6
Invader ZIM: Enter the Florpus,2019,7+,86,1,0,0,0,0,8.6
Happy as Lazzaro,2018,13+,85,1,0,0,0,0,8.5
Chasing Coral,2017,18+,85,1,0,0,0,0,8.5
Kal Ho Naa Ho,2003,all,85,1,0,0,0,0,8.5
Pan's Labyrinth,2006,18+,85,1,0,0,0,0,8.5
Team Foxcatcher,2016,16+,85,1,0,0,0,0,8.5
The Meyerowitz Stories (New and Selected),2017,18+,85,1,0,0,0,0,8.5
Casino Royale,2006,13+,85,1,0,0,0,0,8.5
The Hateful Eight,2015,18+,85,1,0,0,0,0,8.5
Rush,2013,18+,84,1,0,0,0,0,8.4
Zombieland,2009,18+,84,1,0,0,0,0,8.4
Eurovision Song Contest: The Story of Fire Saga,2020,13+,84,1,0,0,0,0,8.4
Kapoor & Sons,2016,13+,84,1,0,0,0,0,8.4
The Perfection,2018,18+,84,1,0,0,0,0,8.4
Dave Chappelle: Sticks & Stones,2019,18+,84,1,0,0,0,0,8.4
There Will Be Blood,2007,18+,84,1,0,0,0,0,8.4
Million Dollar Baby,2004,13+,84,1,0,0,0,0,8.4
The Social Network,2010,13+,84,1,1,0,0,0,8.4
The Christmas Chronicles,2018,7+,84,1,0,0,0,0,8.4
Monty Python and the Holy Grail,1975,7+,84,1,0,0,0,0,8.4
The Pixar Story,2007,all,84,1,0,0,0,0,8.4
Ma Rainey's Black Bottom,2020,18+,84,1,0,0,0,0,8.4
Calibre,2018,18+,84,1,0,0,0,0,8.4
Silver Linings Playbook,2012,18+,84,1,0,0,0,0,8.4
Over the Moon,2020,7+,84,1,0,0,0,0,8.4
"What Happened, Miss Simone?",2015,18+,84,1,0,0,0,0,8.4
Nightcrawler,2014,18+,84,1,0,0,0,0,8.4
1922,2017,18+,84,1,0,0,0,0,8.4
Paddleton,2019,18+,84,1,0,0,0,0,8.4
Cargo,2017,18+,84,1,0,0,0,0,8.4
Rain Man,1988,18+,83,1,0,0,0,0,8.3
Cuba and the Cameraman,2017,18+,83,1,0,0,0,0,8.3
The Ritual,2017,18+,83,1,0,0,0,0,8.3
The Hater,2020,18+,83,1,0,0,0,0,8.3
The Edge of Democracy,2019,16+,83,1,0,0,0,0,8.3
22-Jul,2018,18+,83,1,0,0,0,0,8.3
Adam Sandler: 100% Fresh,2018,18+,83,1,0,0,0,0,8.3
Guru,2007,13+,83,1,0,0,0,0,8.3
A Twelve-Year Night,2018,18+,83,1,0,0,0,0,8.3
Dumplin',2018,13+,83,1,0,0,0,0,8.3
The Conjuring,2013,18+,83,1,0,0,0,0,8.3
Marriage Story,2019,18+,83,1,0,0,0,0,8.3
My Octopus Teacher,2020,all,83,1,0,0,0,0,8.3
About Time,2013,13+,83,1,0,0,0,0,8.3
Hey Arnold! The Jungle Movie,2017,7+,83,1,1,0,0,0,8.3
Kung Fu Panda,2008,7+,83,1,0,0,0,0,8.3
Superbad,2007,18+,83,1,0,0,0,0,8.3
The Invisible Guest,2016,18+,83,1,0,0,0,0,8.3
Chinatown,1974,18+,82,1,0,0,0,0,8.2
Mystic River,2003,18+,82,1,0,0,0,0,8.2
The Theory of Everything,2014,13+,82,1,0,0,0,0,8.2
Springsteen On Broadway,2018,18+,82,1,0,0,0,0,8.2
The Life Ahead,2020,13+,82,1,0,0,0,0,8.2
The Terminal,2004,13+,82,1,0,1,0,0,8.2
Scott Pilgrim vs. the World,2010,13+,82,1,0,0,0,0,8.2
Being Elmo: A Puppeteer's Journey,2011,7+,82,1,0,0,0,0,8.2
Life of Brian,1979,18+,82,1,0,0,0,0,8.2
The Resistance Banker,2018,18+,82,1,0,0,0,0,8.2
How to Train Your Dragon 2,2014,7+,82,1,0,0,0,0,8.2
The Endless Trench,2019,18+,82,1,0,0,0,0,8.2
Even the Rain,2010,18+,82,1,0,0,0,0,8.2
Love Actually,2003,18+,82,1,0,0,0,0,8.2
Dear Ex,2018,18+,82,1,0,0,0,0,8.2
Braven,2018,18+,82,1,0,0,0,0,8.2
Period. End of Sentence.,2018,18+,82,1,0,0,0,0,8.2
Captain Fantastic,2016,18+,82,1,0,0,0,0,8.2
Veronica,2017,18+,81,1,0,0,0,0,8.1
The Siege of Jadotville,2016,18+,81,1,0,0,0,0,8.1
Into the Inferno,2016,18+,81,1,0,0,0,0,8.1
Ricky Gervais: Humanity,2018,18+,81,1,0,0,0,0,8.1
A Whisker Away,2020,7+,81,1,0,0,0,0,8.1
Lady Bird,2017,18+,81,1,0,0,0,0,8.1
Road to Perdition,2002,18+,81,1,0,0,0,0,8.1
Boogie Nights,1997,18+,81,1,0,0,0,0,8.1
Total Recall,1990,16+,81,1,0,0,0,0,8.1
Bo Burnham: Inside,2021,18+,81,1,0,0,0,0,8.1
Snowpiercer,2013,18+,81,1,0,0,0,0,8.1
Circus of Books,2019,18+,81,1,0,0,0,0,8.1
Tallulah,2016,18+,81,1,0,0,0,0,8.1
The Conjuring 2,2016,18+,81,1,0,0,0,0,8.1
They'll Love Me When I'm Dead,2018,18+,81,1,0,0,0,0,8.1
Nocturnal Animals,2016,18+,81,1,0,0,0,0,8.1
Get Me Roger Stone,2017,16+,81,1,0,0,0,0,8.1
Hachi: A Dog's Tale,2009,all,81,1,0,0,0,0,8.1
Dances with Wolves,1990,13+,80,1,0,0,0,0,8.0
Udta Punjab,2016,18+,80,1,0,0,0,0,8.0
Bareilly's Barfi,2017,18+,80,1,0,0,0,0,8.0
Divines,2016,18+,80,1,0,0,0,0,8.0
Maktub,2017,7+,80,1,0,0,0,0,8.0
Ittefaq,2017,7+,80,1,0,0,0,0,8.0
Hannah Gadsby: Nanette,2018,18+,80,1,0,0,0,0,8.0
Ali Wong: Hard Knock Wife,2018,18+,80,1,0,0,0,0,8.0
Seven Pounds,2008,13+,80,1,0,1,0,0,8.0
Uncut Gems,2019,18+,80,1,0,0,0,0,8.0
